group,trades,wins,win_rate,total_R,avg_R,profit_factor
0.7-1.0,21,2,0.095,-8.8817,-0.4229,0.6331
1.0-1.5,20,3,0.15,-5.7343,-0.2867,0.731
1.5-2.5,11,2,0.182,-4.1172,-0.3743,0.6329
2.5+,3,0,0.0,-3.467,-1.1557,0.0
