group,trades,wins,win_rate,total_R,avg_R,profit_factor
2025-05,5,0,0.0,-6.4381,-1.2876,0.0
2025-06,7,3,0.429,11.5482,1.6497,3.3354
2025-07,2,1,0.5,1.7848,0.8924,2.5174
2025-08,3,0,0.0,-3.838,-1.2793,0.0
2025-09,4,0,0.0,-5.0735,-1.2684,0.0
2025-10,7,0,0.0,-8.8165,-1.2595,0.0
2025-11,8,0,0.0,-10.0598,-1.2575,0.0
2025-12,6,2,0.333,5.7282,0.9547,2.1527
2026-01,4,0,0.0,-4.8935,-1.2234,0.0
2026-03,6,1,0.167,1.5834,0.2639,1.2525
2026-04,3,0,0.0,-3.7254,-1.2418,0.0
