timestamp,direction,edge_id,sweep_id,entry,SL,TP1,R_abs_bps,R_abs_ATR,TP1_R,body_ratio,acceptance_close_strength,acceptance_weakness_count,v10_1_result,v11_result,v11_1_result,duplicate_state,cooldown_state,reason_tags,filled,exit_reason,result_R
2025-05-07 01:10:00,short,H:97476.9@20,SWH:97700.0,97476.9,97722.01857142858,94400.0,25.146324044833403,1.113235580354298,12.552700442350947,0.35934360348292305,0.8476222371065,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",yes,SL,-1.3181
2025-05-09 07:55:00,short,H:104000.0@20,SWH:104373.0,104000.0,104396.20928571429,102327.9,38.097046703296655,1.7071153786969464,4.220244351379972,0.7171138317270307,0.8489189893201332,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",no,,
2025-05-12 18:55:00,long,L:101021.0@20,SWL:100678.0,101021.0,100639.32785714285,104620.1,37.78146552272767,0.9869433516189393,9.429821031887784,0.9415155349360247,0.9416561225924366,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",no,,
2025-05-14 14:40:00,long,L:103040.9@20,SWL:102838.0,103040.9,102806.93714285715,104319.0,22.705824303053205,0.7531916850625143,5.462832928303888,0.6357315598548564,0.7920193470374779,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",yes,SL,-1.3523
2025-05-20 00:25:00,short,H:105964.3@20,SWH:106541.2,105964.3,106560.04,104797.2,56.22082154083881,3.1621019108280213,1.9590761070265956,0.8697502058742859,0.9818830634092819,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_conditional_sub2r,v11_1_clear",yes,SL,-1.1423
2025-05-28 14:25:00,long,L:107793.6@20,SWL:107568.0,107793.6,107540.17142857143,109012.0,23.510539719294997,0.9106776180698518,4.807666290867914,0.7721477607061291,0.9362536776724438,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",yes,SL,-1.3403
2025-05-29 14:40:00,long,L:106882.0@20,SWL:106400.0,106882.0,106363.25214285715,108860.0,48.53463231815002,1.4116411063813166,3.8130277990821755,0.9545844044558456,0.964153099114531,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",no,,
2025-05-30 07:55:00,long,L:104950.0@20,SWL:104680.4,104950.0,104655.51142857142,106266.0,28.059892465800612,1.1832281023992763,4.46876424988591,0.3473722102231785,0.8437724982001665,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",yes,SL,-1.2851
2025-06-03 20:40:00,long,L:105526.2@20,SWL:105300.1,105526.2,105284.43428571429,106698.5,22.910491829110313,1.5432792267006301,4.848909215533515,0.8054260279779767,0.8541754980924331,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",no,,
2025-06-05 20:25:00,long,L:101311.1@20,SWL:100855.1,101311.1,100814.52071428573,104825.0,49.015289115830406,1.2237260389713245,7.076211394814011,0.39180097011424214,0.9133156000625959,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",yes,SL,-1.1632
2025-06-06 12:40:00,short,H:103979.1@20,SWH:104293.8,103979.1,104308.13214285714,102997.3,31.644065283997772,2.295763767754747,2.983903005568375,0.49830717143740116,0.9252077562327214,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",no,,
2025-06-08 13:55:00,short,H:105834.2@20,SWH:106200.0,105834.2,106212.44785714286,104927.4,35.73966233437448,3.0386584036266293,2.397369827418484,0.7870900572618714,0.7873503383654407,0.0,PASS,PASS,PASS,fresh,clear,"v10_1_pass,v11_normal_Aplus,v11_1_clear",yes,SL,-1.2238
