group,trades,wins,win_rate,total_R,avg_R,profit_factor
0.60-0.70,4,1,0.25,3.7768,0.9442,2.0231
0.70-0.80,8,0,0.0,-10.0731,-1.2591,0.0
0.80-0.90,21,2,0.095,-10.6432,-0.5068,0.553
0.90+,22,4,0.182,-5.2607,-0.2391,0.7676
