month,trades,total_R,win_rate,max_consecutive_SL
2025-05,5,-6.4381,0.0,5
2025-06,7,11.5482,0.4286,4
2025-07,2,1.7848,0.5,1
2025-08,3,-3.838,0.0,3
2025-09,4,-5.0735,0.0,4
2025-10,7,-8.8165,0.0,7
2025-11,8,-10.0598,0.0,8
2025-12,6,5.7282,0.3333,2
2026-01,4,-4.8935,0.0,4
2026-03,6,1.5834,0.1667,4
2026-04,3,-3.7254,0.0,3
