group,trades,wins,win_rate,total_R,avg_R,profit_factor
0.30-0.40,13,2,0.154,-3.1648,-0.2434,0.7717
0.40-0.55,10,1,0.1,-7.4807,-0.7481,0.3409
0.55-0.70,15,3,0.2,0.6588,0.0439,1.0441
0.70+,17,1,0.059,-12.2135,-0.7184,0.3914
