fill_time,direction,result_R,mfe_R,mae_R,RR,exit_time,TP1_R,R_abs_bps,R_abs_ATR,body_ratio,close_strength,h1_context,m15_zone
2025-06-21 23:47:00,long,9.2983,9.6992,0.9527,9.6329,2025-06-22 00:38:00,9.632928762391444,23.908702661425004,1.122033448367404,0.6827398615232325,0.8528684470820949,bearish,lower_edge
2025-06-23 16:41:00,long,3.8686,4.116,0.0456,3.9986,2025-06-23 17:38:00,3.9986316381494724,61.51395030491424,2.0490554829511733,0.4021209166260496,0.8547050219405193,bullish,lower_edge
2025-06-26 03:12:00,short,3.3261,3.6927,0.504,3.6486,2025-06-26 12:32:00,3.6486194621835586,24.80390211640177,1.4897120158887491,0.6651497914296401,1.0,bullish,upper_edge
2025-07-23 13:56:00,long,2.961,3.4708,0.9092,3.2501,2025-07-23 15:57:00,3.250116909890467,27.675055683807344,1.198660491065557,0.5955265610438201,0.9095992544268672,bearish,lower_edge
2025-12-03 22:57:00,short,3.229,3.4113,0.654,3.4034,2025-12-04 14:51:00,3.4033886150899724,45.88476714296904,1.7139292725255133,0.30838709677421233,0.9219354838709771,bullish,upper_edge
2025-12-18 14:06:00,short,7.4685,8.2977,0.5062,7.6955,2025-12-18 17:10:00,7.69546810768565,35.24886285593125,0.7794310915885763,0.33245341614907736,0.667391304347808,bullish,upper_edge
2026-03-10 15:34:00,short,7.8548,8.1575,0.5771,8.0538,2026-03-11 11:57:00,8.053782331146998,40.203552732243864,0.7322761431665156,0.9549479571228615,0.9552586608668597,bullish,upper_edge
