group,trades,wins,win_rate,total_R,avg_R,profit_factor
1.8-2.5,5,0,0.0,-5.8377,-1.1675,0.0
2.5-4.0,10,4,0.4,5.7604,0.576,1.7555
4.0-6.0,16,0,0.0,-20.1033,-1.2565,0.0
6.0-10.0,17,3,0.176,6.8489,0.4029,1.3854
10+,7,0,0.0,-8.8685,-1.2669,0.0
