group,trades,wins,win_rate,total_R,avg_R,profit_factor
22-35,31,3,0.097,-20.7901,-0.6706,0.4285
35-50,20,3,0.15,-1.8876,-0.0944,0.9077
50-75,3,1,0.333,1.5784,0.5261,1.6892
75+,1,0,0.0,-1.1009,-1.1009,0.0
