timestamp,decision,setup_family,direction,h1_context,m15_zone,edge_id,sweep_id,entry,SL,TP1,R_abs,R_abs_bps,R_abs_ATR,TP1_R,body_ratio,acceptance_close_strength,opposite_wick_ratio,entry_edge_dist_band,acceptance_weakness_count,v10_1_result,v11_result,v11_1_result,duplicate_state,cooldown_state,setup_id,reason_tags
2025-05-07 01:10:00,EXECUTE_CANDIDATE,SRR-1,short,bullish,upper_edge,H:97476.9@20,SWH:97700.0,97476.9,97722.01857142858,94400.0,245.11857142858207,25.146324044833403,1.113235580354298,12.552700442350947,0.35934360348292305,0.8476222371065,0.15237776289350005,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|short|H:97476.9@20|SWH:97700.0,"v10_1_pass,v11_normal_Aplus,v11_1_clear"
2025-05-09 07:55:00,EXECUTE_CANDIDATE,SRR-1,short,bullish,upper_edge,H:104000.0@20,SWH:104373.0,104000.0,104396.20928571429,102327.9,396.2092857142852,38.097046703296655,1.7071153786969464,4.220244351379972,0.7171138317270307,0.8489189893201332,0.15108101067986685,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|short|H:104000.0@20|SWH:104373.0,"v10_1_pass,v11_normal_Aplus,v11_1_clear"
2025-05-12 18:55:00,EXECUTE_CANDIDATE,SRR-1,long,bearish,lower_edge,L:101021.0@20,SWL:100678.0,101021.0,100639.32785714285,104620.1,381.67214285714726,37.78146552272767,0.9869433516189393,9.429821031887784,0.9415155349360247,0.9416561225924366,0.058343877407563374,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|long|L:101021.0@20|SWL:100678.0,"v10_1_pass,v11_normal_Aplus,v11_1_clear"
2025-05-14 14:40:00,EXECUTE_CANDIDATE,SRR-1,long,bullish,lower_edge,L:103040.9@20,SWL:102838.0,103040.9,102806.93714285715,104319.0,233.9628571428475,22.705824303053205,0.7531916850625143,5.462832928303888,0.6357315598548564,0.7920193470374779,0.20798065296252208,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|long|L:103040.9@20|SWL:102838.0,"v10_1_pass,v11_normal_Aplus,v11_1_clear"
2025-05-20 00:25:00,EXECUTE_CANDIDATE,SRR-1,short,bullish,upper_edge,H:105964.3@20,SWH:106541.2,105964.3,106560.04,104797.2,595.7399999999907,56.22082154083881,3.1621019108280213,1.9590761070265956,0.8697502058742859,0.9818830634092819,0.018116936590718155,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|short|H:105964.3@20|SWH:106541.2,"v10_1_pass,v11_conditional_sub2r,v11_1_clear"
2025-05-28 14:25:00,EXECUTE_CANDIDATE,SRR-1,long,bearish,lower_edge,L:107793.6@20,SWL:107568.0,107793.6,107540.17142857143,109012.0,253.42857142857974,23.510539719294997,0.9106776180698518,4.807666290867914,0.7721477607061291,0.9362536776724438,0.06374632232755621,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|long|L:107793.6@20|SWL:107568.0,"v10_1_pass,v11_normal_Aplus,v11_1_clear"
2025-05-29 14:40:00,EXECUTE_CANDIDATE,SRR-1,long,bullish,lower_edge,L:106882.0@20,SWL:106400.0,106882.0,106363.25214285715,108860.0,518.747857142851,48.53463231815002,1.4116411063813166,3.8130277990821755,0.9545844044558456,0.964153099114531,0.03584690088546901,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|long|L:106882.0@20|SWL:106400.0,"v10_1_pass,v11_normal_Aplus,v11_1_clear"
2025-05-30 07:55:00,EXECUTE_CANDIDATE,SRR-1,long,bearish,lower_edge,L:104950.0@20,SWL:104680.4,104950.0,104655.51142857142,106266.0,294.4885714285774,28.059892465800612,1.1832281023992763,4.46876424988591,0.3473722102231785,0.8437724982001665,0.1562275017998334,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|long|L:104950.0@20|SWL:104680.4,"v10_1_pass,v11_normal_Aplus,v11_1_clear"
2025-06-03 20:40:00,EXECUTE_CANDIDATE,SRR-1,long,bullish,lower_edge,L:105526.2@20,SWL:105300.1,105526.2,105284.43428571429,106698.5,241.76571428570605,22.910491829110313,1.5432792267006301,4.848909215533515,0.8054260279779767,0.8541754980924331,0.14582450190756688,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|long|L:105526.2@20|SWL:105300.1,"v10_1_pass,v11_normal_Aplus,v11_1_clear"
2025-06-05 20:25:00,EXECUTE_CANDIDATE,SRR-1,long,bearish,lower_edge,L:101311.1@20,SWL:100855.1,101311.1,100814.52071428573,104825.0,496.57928571428056,49.015289115830406,1.2237260389713245,7.076211394814011,0.39180097011424214,0.9133156000625959,0.08668439993740407,0.0,0.0,PASS,PASS,PASS,fresh,clear,BTCUSDT|long|L:101311.1@20|SWL:100855.1,"v10_1_pass,v11_normal_Aplus,v11_1_clear"
