timestamp,decision,setup_family,direction,h1_context,m15_zone,edge_id,sweep_id,entry,SL,TP1,R_abs,R_abs_bps,R_abs_ATR,TP1_R,body_ratio,acceptance_close_strength,opposite_wick_ratio,entry_edge_dist_band,acceptance_weakness_count,v10_1_result,v11_result,v11_1_result,duplicate_state,cooldown_state,setup_id,reason_tags
2025-05-01 13:20:00,CANCEL,SRR-1,short,unclear,upper_edge,H:96450.0@20,SWH:96465.5,96450.0,96479.19428571429,94972.2,29.194285714285797,3.026882914907807,0.21318589609847463,50.61949500880794,0.1602836879433037,0.4085106382979136,0.5914893617020863,0.0,4.0,CANCEL,,,,clear,BTCUSDT|short|H:96450.0@20|SWH:96465.5,"v10_1_strict_cancel,weak_body_ratio,weak_close_strength,opposite_wick_high,weak_retest"
2025-05-02 03:55:00,CANCEL,SRR-1,short,unclear,upper_edge,H:97173.8@20,SWH:97193.7,97173.8,97202.955,96122.4,29.154999999998836,3.0002943180156416,0.3150189086979892,36.062424969989735,0.7231920199501509,0.2531172069825891,0.023690773067259953,0.0,2.0,CANCEL,,,,clear,BTCUSDT|short|H:97173.8@20|SWH:97193.7,"v10_1_strict_cancel,weak_close_strength,body_not_aligned"
2025-05-02 04:05:00,CANCEL,SRR-1,short,unclear,upper_edge,H:97193.7@20,SWH:97194.5,97193.7,97204.88142857143,96122.4,11.18142857143539,1.1504272984190735,0.10770606852903267,95.81065542347575,0.7651917404129622,0.057817109144559946,0.17699115044247787,0.0,3.0,CANCEL,,,,clear,BTCUSDT|short|H:97193.7@20|SWH:97194.5,"v10_1_strict_cancel,weak_close_strength,body_not_aligned,weak_retest"
2025-05-02 06:55:00,CANCEL,SRR-1,long,unclear,lower_edge,L:96540.9@20,SWL:96436.4,96540.9,96424.53285714285,97262.0,116.3671428571397,12.053662526156241,0.980582641145981,6.196766392084386,0.11276595744687043,0.16595744680857255,0.721276595744557,0.0,4.0,CANCEL,,,,clear,BTCUSDT|long|L:96540.9@20|SWL:96436.4,"v10_1_strict_cancel,weak_body_ratio,weak_close_strength,body_not_aligned,opposite_wick_high"
2025-05-02 10:50:00,CANCEL,SRR-1,short,unclear,upper_edge,H:96850.0@20,SWH:96885.1,96850.0,96893.57571428572,96283.1,43.57571428571828,4.499299358360173,0.5141243890106505,13.009540045240126,0.03624733475473426,0.3901918976546342,0.5735607675906316,0.0,5.0,CANCEL,,,,clear,BTCUSDT|short|H:96850.0@20|SWH:96885.1,"v10_1_strict_cancel,weak_body_ratio,weak_close_strength,body_not_aligned,opposite_wick_high,weak_retest"
2025-05-02 11:20:00,CANCEL,SRR-1,short,unclear,upper_edge,H:96970.0@20,SWH:96981.0,96970.0,96989.17785714286,96283.1,19.177857142858556,1.9777103375124838,0.2345095641540901,35.81734887705021,0.15950920245406625,0.4744376278118579,0.36605316973407587,0.0,3.0,CANCEL,,,,clear,BTCUSDT|short|H:96970.0@20|SWH:96981.0,"v10_1_strict_cancel,weak_body_ratio,weak_close_strength,body_not_aligned"
2025-05-02 19:35:00,CANCEL,SRR-1,long,unclear,lower_edge,L:96942.5@20,SWL:96930.7,96942.5,96918.83285714286,97865.4,23.667142857142608,2.4413588320027446,0.1994342121102688,38.994990040442005,0.9298434970318413,0.07015650296815863,0.0,0.0,3.0,CANCEL,,,,clear,BTCUSDT|long|L:96942.5@20|SWL:96930.7,"v10_1_strict_cancel,weak_close_strength,body_not_aligned,weak_retest"
2025-05-03 10:35:00,CANCEL,SRR-1,long,bearish,lower_edge,L:96064.1@20,SWL:96050.0,96064.1,96043.49071428571,96557.7,20.609285714293947,2.1453681150704527,0.31661362888193756,23.950369112387335,0.20852764823452163,0.15856095936043962,0.6329113924050388,0.0,4.0,CANCEL,,,,clear,BTCUSDT|long|L:96064.1@20|SWL:96050.0,"v10_1_strict_cancel,weak_body_ratio,weak_close_strength,body_not_aligned,opposite_wick_high"
2025-05-04 15:05:00,WATCH,SRR-1,short,bearish,upper_edge,H:95609.0@20,SWH:95644.3,95609.0,95651.47571428571,95172.4,42.475714285712456,4.442648106947301,0.5919370893887912,10.278814784919692,0.47212336892036755,0.49703440094907814,0.030842230130554343,0.0,3.0,WATCH,,,,clear,BTCUSDT|short|H:95609.0@20|SWH:95644.3,"v10_1_watch_weak3,weak_close_strength,body_not_aligned,weak_retest"
2025-05-04 20:40:00,CANCEL,SRR-1,short,bearish,upper_edge,H:95680.0@20,SWH:95685.0,95680.0,95690.9,95200.1,10.89999999999418,1.1392140468221341,0.1847457627117625,44.02752293580279,0.06459948320413922,0.19638242894073366,0.7390180878551271,0.0,4.0,CANCEL,,,,clear,BTCUSDT|short|H:95680.0@20|SWH:95685.0,"v10_1_strict_cancel,weak_body_ratio,weak_close_strength,body_not_aligned,opposite_wick_high"
2025-05-04 23:25:00,WATCH,SRR-1,long,bearish,lower_edge,L:94500.4@20,SWL:94500.0,94500.4,94481.89642857143,95700.0,18.50357142856228,1.9580415986135808,0.10220950877880074,64.8307276587855,0.2890322580645349,0.4980645161290135,0.2129032258064516,0.0,3.0,WATCH,,,,clear,BTCUSDT|long|L:94500.4@20|SWL:94500.0,"v10_1_watch_weak3,weak_body_ratio,weak_close_strength,body_not_aligned"
2025-05-04 23:40:00,CANCEL,SRR-1,long,bearish,lower_edge,L:94350.0@20,SWL:94200.0,94350.0,94180.845,95700.0,169.15499999999884,17.928457869634215,0.8830853563038272,7.98084596967284,0.15420835785755144,0.32077692760448423,0.5250147145379643,0.0,5.0,CANCEL,,,,clear,BTCUSDT|long|L:94350.0@20|SWL:94200.0,"v10_1_strict_cancel,weak_body_ratio,weak_close_strength,body_not_aligned,opposite_wick_high,weak_retest"
2025-05-05 18:10:00,CANCEL,SRR-1,short,bearish,upper_edge,H:94598.0@20,SWH:94650.0,94598.0,94663.57428571429,93559.6,65.57428571429045,6.931889227498515,0.4830772468954194,15.835475578404937,0.5899825276645582,0.3040186371578216,0.10599883517762025,0.0,3.0,CANCEL,,,,clear,BTCUSDT|short|H:94598.0@20|SWH:94650.0,"v10_1_strict_cancel,weak_close_strength,body_not_aligned,weak_retest"
2025-05-06 02:10:00,CANCEL,SRR-1,long,bearish,lower_edge,L:94186.5@20,SWL:94167.0,94186.5,94153.16928571429,95165.1,33.33071428570838,3.5387995398181675,0.24099054898513483,29.360306881260332,0.8423848878394451,0.15761511216055493,0.0,0.0,3.0,CANCEL,,,,clear,BTCUSDT|long|L:94186.5@20|SWL:94167.0,"v10_1_strict_cancel,weak_close_strength,body_not_aligned,weak_retest"
2025-05-06 02:40:00,CANCEL,SRR-1,long,bearish,lower_edge,L:94005.4@20,SWL:93961.0,94005.4,93947.81428571428,95165.1,57.58571428571304,6.125787910663966,0.43672806067171316,20.138675266683844,0.5717791411041874,0.33496932515340994,0.0932515337424027,0.0,2.0,CANCEL,,,,clear,BTCUSDT|long|L:94005.4@20|SWL:93961.0,"v10_1_strict_cancel,weak_close_strength,body_not_aligned"
2025-05-06 18:55:00,CANCEL,SRR-1,short,bearish,upper_edge,H:94917.4@20,SWH:94925.3,94917.4,94937.02571428572,93327.0,19.625714285721187,2.0676624397340415,0.16737329434703682,81.03654098119118,0.10919970082267455,0.3223635003740221,0.5684367988033033,0.0,4.0,CANCEL,,,,clear,BTCUSDT|short|H:94917.4@20|SWH:94925.3,"v10_1_strict_cancel,weak_body_ratio,weak_close_strength,body_not_aligned,opposite_wick_high"
2025-05-06 19:25:00,CANCEL,SRR-1,short,bullish,upper_edge,H:95079.9@20,SWH:95080.8,95079.9,95093.04714285715,93977.6,13.147142857153085,1.3827468115924697,0.10734865274707953,83.84331196342406,0.6858974358974665,0.16426282051281668,0.14983974358971677,0.0,2.0,CANCEL,,,,clear,BTCUSDT|short|H:95079.9@20|SWH:95080.8,"v10_1_strict_cancel,weak_close_strength,body_not_aligned"
2025-05-06 19:35:00,CANCEL,SRR-1,short,bullish,upper_edge,H:95099.1@20,SWH:95119.9,95099.1,95131.61,94025.6,32.50999999999476,3.41853918701594,0.27762596071729184,33.02060904337659,0.0705176294074235,0.2708177044260647,0.6586646661665119,0.0,4.0,CANCEL,,,,clear,BTCUSDT|short|H:95099.1@20|SWH:95119.9,"v10_1_strict_cancel,weak_body_ratio,weak_close_strength,body_not_aligned,opposite_wick_high"
2025-05-06 22:55:00,WATCH,SRR-1,short,bullish,upper_edge,H:96152.7@20,SWH:96235.0,96152.7,96259.57428571429,94400.0,106.87428571429336,11.115058205780322,0.43490291826534805,16.399641768699006,0.4524324324324167,0.5140540540540856,0.03351351351349778,0.0,3.0,WATCH,,,,clear,BTCUSDT|short|H:96152.7@20|SWH:96235.0,"v10_1_watch_weak3,weak_close_strength,body_not_aligned,weak_retest"
2025-05-07 08:10:00,CANCEL,SRR-1,short,bullish,upper_edge,H:96963.0@20,SWH:96965.3,96963.0,96973.30642857144,96153.2,10.30642857143539,1.0629238546079836,0.12872691587126078,78.57231963401857,0.32267441860466345,0.0944767441860625,0.582848837209274,0.0,3.0,CANCEL,,,,clear,BTCUSDT|short|H:96963.0@20|SWH:96965.3,"v10_1_strict_cancel,weak_close_strength,body_not_aligned,opposite_wick_high"
2025-05-07 08:55:00,WATCH,SRR-1,short,bullish,upper_edge,H:97021.4@20,SWH:97033.6,97021.4,97041.05714285714,96268.0,19.657142857147846,2.026062585898353,0.26360153256711305,38.32703488371091,0.28146853146864753,0.4423076923077657,0.5576923076922343,0.0,3.0,WATCH,,,,clear,BTCUSDT|short|H:97021.4@20|SWH:97033.6,"v10_1_watch_weak3,weak_body_ratio,weak_close_strength,opposite_wick_high"
