group,trades,wins,win_rate,total_R,avg_R,profit_factor
Asia(00-08),17,1,0.059,-16.8772,-0.9928,0.1646
London(08-13),3,0,0.0,-3.6396,-1.2132,0.0
NY_Late(17-22),9,0,0.0,-11.1023,-1.2336,0.0
NY_Open(13-17),22,4,0.182,-0.5611,-0.0255,0.9753
Night(22-24),4,2,0.5,9.98,2.495,4.9179
